country,2020_mc,2018_mc,2016_mc,2014_mc,2012_mc,2010_mc,2008_mc,2006_mc,2004_mc,2002_mc,2000_mc,1998_mc,1996_mc,1994_mc,1992_mc,1988_mc,1988_gdp,1990_gdp,1992_gdp,1994_gdp,1996_gdp,1998_gdp,2000_gdp,2002_gdp,2004_gdp,2006_gdp,2008_gdp,2010_gdp,2012_gdp,2014_gdp,2016_gdp,2018_gdp,2020_gdp,2020_mp,2018_mp,2016_mp,2014_mp,2012_mp,2010_mp,2008_mp,2006_mp,2004_mp,2002_mp,2000_mp,1998_mp,1996_mp,1994_mp,1992_mp,1988_mp,HDI Rank,1990_hdi,1992_hdi,1994_hdi,1996_hdi,1998_hdi,2000_hdi,2002_hdi,2004_hdi,2006_hdi,2008_hdi,2010_hdi,2012_hdi,2014_hdi,2016_hdi,2018_hdi,2019_hdi
0,Afghanistan,0,,0.0,,1.0,,1.0,,0.0,,,,0.0,,,0.0,,,,,,,,4055179566.34981,5226778808.89209,6971285594.68013,10109225813.6696,15856574731.441004,20001598505.7042,20484885119.7348,18017749073.6362,18353881129.5246,19807067268.1084,0.0,,0.0,,0.0010471204188481676,,0.0010482180293501047,,0.0,,,,0.0,,,0.0,169,0.302,0.316,0.307,0.335,0.344,0.350,0.384,0.409,0.429,0.447,0.472,0.489,0.500,0.502,0.509,0.511
1,Albania,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,2051236250.0,2028553750.0,652174990.837304,1880951520.3972,3199642579.96974,2545967253.2416,3480355188.6006303,4348070165.19261,7184681398.5698,8896073938.31407,12881354103.8398,11926928505.5231,12319830252.4768,13228144008.3428,11861200797.4706,15147020535.3869,14799615097.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,69,0.650,0.615,0.624,0.646,0.655,0.671,0.684,0.696,0.713,0.728,0.745,0.775,0.787,0.788,0.792,0.795
2,Algeria,0,,2.0,,1.0,0.0,2.0,0.0,0.0,,5.0,,3.0,,2.0,0.0,59089067187.3943,62048562947.2509,48003078388.5401,42543178042.4148,46941582519.4661,48187747528.899,54790379458.8877,56760318215.3036,85332581188.6107,117027321306.159,171000653424.751,161207310515.42,209058991952.125,213810023703.446,160034162957.738,175414987760.927,145163902228.168,0.0,,0.0020639834881320948,,0.0010471204188481676,0.0,0.0020964360587002093,0.0,0.0,,0.005422993492407809,,0.0035799522673031032,,0.002386634844868735,0.0,91,0.572,0.582,0.590,0.602,0.621,0.637,0.657,0.677,0.690,0.702,0.721,0.728,0.736,0.743,0.746,0.748
3,American Samoa,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,512000000.0,509000000.0,493000000.0,560000000.0,573000000.0,640000000.0,643000000.0,671000000.0,641000000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
4,Andorra,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721425939.15155,1029048481.88051,1210013651.87713,1017549124.33238,1223945356.6268196,1211932397.81713,1429049198.4521801,1755910031.99699,2894921777.9985104,3456442102.622,4085630584.4441204,3449966856.68832,3188808942.56713,3271808157.30038,2896679211.86628,3218316013.22626,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,..,..,..,..,..,0.813,0.820,0.833,0.837,0.840,0.837,0.858,0.863,0.866,0.867,0.868
5,Angola,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,8775116269.167221,11236275842.7358,,3390500000.0,7526963963.96396,6506619144.60285,9129634978.33773,15285594828.418001,23552052407.5488,52381006892.037994,88538611205.1433,83799496611.2004,128052853643.106,145712200312.505,101123851090.455,101353230784.59401,62306913444.2917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,148,..,..,..,..,..,0.400,0.426,0.446,0.473,0.501,0.517,0.544,0.565,0.578,0.582,0.581
6,Antigua and Barbuda,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,398637727.77777797,459470370.37037003,499281481.48148096,589429629.62963,633729629.62963,727859259.259259,826370370.37037,814381481.481481,919729629.6296301,1157662962.96296,1370070370.37037,1148700000.0,1199948148.14815,1249733333.3333302,1436585185.18519,1605351851.85185,1415059259.25926,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,78,..,..,..,..,..,..,..,..,0.771,0.774,0.763,0.759,0.760,0.765,0.772,0.778
7,Argentina,3,0.0,4.0,0.0,4.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,126206817196.091,141352368714.691,228788617201.696,257440000000.0,272149750000.0,298948250000.0,284203750000.0,97724004251.8602,164657930452.787,232557260817.308,361558037110.419,423627422092.49,545982375701.128,526319673731.6379,557531376217.967,517626700412.885,383066977653.56,0.0027881040892193307,0.0,0.0041279669762641896,0.0,0.0041884816753926715,0.0,0.006289308176100629,0.0,0.006493506493506494,0.0,0.0043383947939262466,0.0,0.0035799522673031032,0.0,0.0011933174224343676,0.002355712603062426,46,0.718,0.730,0.739,0.748,0.763,0.781,0.781,0.787,0.812,0.821,0.829,0.834,0.836,0.839,0.842,0.845
8,Armenia,4,0.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,2256838857.60997,1272835453.42634,1315158636.6755302,1596968946.23708,1893726437.2646198,1911563668.8500602,2376335048.3997602,3576615240.41616,6384451606.1421,11662040713.8753,9260284937.79781,10619320048.5857,11609512939.7542,10546135160.031,12457941907.0333,12645459213.5235,0.0037174721189591076,0.0,0.0041279669762641896,0.0,0.0020942408376963357,0.0,0.005241090146750524,0.0,0.0,0.0,0.0010845986984815619,0.0,0.002386634844868735,0.0,,,81,0.654,0.618,0.621,0.634,0.657,0.669,0.682,0.700,0.726,0.745,0.747,0.756,0.764,0.766,0.771,0.776
9,Aruba,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,596423607.114715,764887117.194486,958463184.357542,1245688268.15642,1379960893.85475,1665100558.65922,1873452513.96648,1941340782.1229105,2228491620.11173,2424581005.58659,2745251396.64804,2390502793.2960896,2534636871.50838,2790849162.01117,2983636871.50838,3202188606.9289303,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,
